No,Company,Ticker Symbol,Class
212,Centene Corp,CNC,Stock
213,Dr Horton Inc,DHI,Stock
214,Metlife Inc,MET,Stock
215,Charter Communications Inc A,CHTR,Stock
216,Agilent Technologies Inc,A,Stock
217,Ametek Inc,AME,Stock
218,Verisk Analytics Inc,VRSK,Stock
219,Xcel Energy Inc,XEL,Stock
220,Costar Group Inc,CSGP,Stock
221,Ameriprise Financial Inc,AMP,Stock
222,Newmont Corp,NEM,Stock
223,Kinder Morgan Inc,KMI,Stock
224,Electronic Arts Inc,EA,Stock
225,Cummins Inc,CMI,Stock
226,Ppg Industries Inc,PPG,Stock
227,Ww Grainger Inc,GWW,Stock
228,Consolidated Edison Inc,ED,Stock
229,Vici Properties Inc,VICI,Stock
230,Cognizant Tech Solutions A,CTSH,Stock
231,Fidelity National Info Serv,FIS,Stock
232,Bank of New York Mellon Corp,BK,Stock
233,Illumina Inc,ILMN,Stock
234,Dupont De Nemours Inc,DD,Stock
235,Devon Energy Corp,DVN,Stock
236,Resmed Inc,RMD,Stock
237,Fastenal Co,FAST,Stock
238,Prudential Financial Inc,PRU,Stock
239,Discover Financial Services,DFS,Stock
240,Public Service Enterprise Gp,PEG,Stock
241,Kroger Co,KR,Stock
242,Constellation Energy,CEG,Stock
243,Warner Bros Discovery Inc,WBD,Stock
244,Digital Realty Trust Inc,DLR,Stock
245,Baker Hughes Co,BKR,Stock
246,Zimmer Biomet Holdings Inc,ZBH,Stock
247,Allstate Corp,ALL,Stock
248,Keysight Technologies In,KEYS,Stock
249,Republic Services Inc,RSG,Stock
250,Mettler Toledo International,MTD,Stock
251,Ansys Inc,ANSS,Stock
252,Lennar Corp A,LEN,Stock
253,Kraft Heinz Co,KHC,Stock
254,Halliburton Co,HAL,Stock
255,Old Dominion Freight Line,ODFL,Stock
256,Amerisourcebergen Corp,ABC,Stock
257,Dollar Tree Inc,DLTR,Stock
258,Wec Energy Group Inc,WEC,Stock
259,Ge Healthcare Technology,GEHC,Stock
260,American Water Works Co Inc,AWK,Stock
261,United Rentals Inc,URI,Stock
262,Equifax Inc,EFX,Stock
263,Gartner Inc,IT,Stock
264,P G & E Corp,PCG,Stock
265,Vulcan Materials Co,VMC,Stock
266,Aptiv Plc,APTV,Stock
267,Delta Air Lines Inc,DAL,Stock
